Unnamed: 0,cluster_R,cluster_G,cluster_B,color
3980,35.0,145.0,217.0,파랑
4102,215.0,212.0,204.0,밝은회색
5219,218.0,219.0,224.0,밝은회색
5425,215.0,84.0,77.0,빨강
5914,220.0,221.0,226.0,밝은회색
6306,152.0,45.0,59.0,버건디
8145,215.0,149.0,69.0,황토
8146,85.0,84.0,85.0,진한회색
8147,228.0,229.0,230.0,밝은회색
8150,191.0,123.0,33.0,황토
8151,130.0,27.0,50.0,버건디
8152,188.0,186.0,187.0,회색
8153,183.0,183.0,188.0,회색
8154,118.0,33.0,40.0,버건디
8155,199.0,199.0,201.0,밝은회색
8156,90.0,79.0,100.0,진한회색
8158,68.0,55.0,45.0,검정
8159,220.0,167.0,119.0,살구색
8160,227.0,82.0,3.0,주황
8161,83.0,63.0,51.0,진한회색
8162,213.0,210.0,212.0,밝은회색
8163,217.0,175.0,155.0,베이지
8165,148.0,117.0,104.0,베이지
8166,209.0,209.0,204.0,밝은회색
8168,39.0,98.0,72.0,초록
8170,201.0,202.0,205.0,
8171,133.0,153.0,145.0,회색
8174,84.0,72.0,137.0,보라
8175,203.0,203.0,214.0,밝은회색
8176,100.0,88.0,163.0,보라
8177,207.0,204.0,195.0,밝은회색
8178,93.0,79.0,157.0,보라
8180,114.0,9.0,22.0,버건디
8185,56.0,39.0,86.0,남색
8186,220.0,218.0,202.0,밝은회색
8187,201.0,231.0,5.0,노랑
8188,201.0,200.0,194.0,밝은회색
8189,98.0,96.0,91.0,진한회색
8190,82.0,80.0,76.0,진한회색
8192,166.0,168.0,171.0,회색
8194,125.0,1.0,18.0,버건디
8195,205.0,206.0,205.0,밝은회색
8196,199.0,5.0,45.0,버건디
8198,223.0,221.0,208.0,밝은회색
8199,84.0,82.0,80.0,진한회색
8200,203.0,200.0,193.0,밝은회색
8202,203.0,202.0,201.0,밝은회색
8203,131.0,108.0,87.0,베이지
8204,153.0,135.0,115.0,베이지
8205,173.0,169.0,133.0,베이지
8206,233.0,234.0,229.0,밝은회색
8207,204.0,204.0,203.0,밝은회색
8208,202.0,194.0,173.0,베이지
8209,130.0,38.0,36.0,버건디
8210,164.0,80.0,74.0,버건디
8211,21.0,58.0,132.0,파랑
8212,127.0,142.0,179.0,발블
8213,216.0,213.0,204.0,밝은회색
8214,174.0,169.0,160.0,회색
8215,224.0,228.0,189.0,베이지
8216,199.0,187.0,176.0,베이지
8217,220.0,221.0,141.0,노랑
8218,208.0,204.0,160.0,베이지
8222,1.0,136.0,93.0,초록
8224,160.0,192.0,221.0,하늘
8225,210.0,212.0,213.0,밝은회색
8227,203.0,169.0,122.0,베이지
8228,181.0,185.0,178.0,밝은회색
8229,187.0,178.0,180.0,밝은회색
8231,70.0,60.0,121.0,남색
8232,39.0,28.0,89.0,남색
8234,211.0,208.0,198.0,밝은회색
8236,217.0,196.0,198.0,베이지
8238,128.0,115.0,117.0,회색
8240,220.0,215.0,207.0,밝은회색
8242,135.0,102.0,98.0,갈색
8243,74.0,62.0,61.0,검정
8244,160.0,83.0,84.0,갈색
8245,194.0,190.0,187.0,밝은회색
8246,113.0,75.0,67.0,갈색
8247,121.0,13.0,27.0,버건디
8248,139.0,51.0,21.0,버건디
8249,187.0,187.0,187.0,회색
8250,110.0,23.0,37.0,버건디
8252,140.0,20.0,38.0,버건디
8254,195.0,195.0,181.0,밝은회색
8256,207.0,203.0,198.0,밝은회색
8257,173.0,170.0,160.0,회색
8258,220.0,214.0,198.0,밝은회색
8259,184.0,151.0,128.0,베이지
8260,184.0,200.0,134.0,연두
8261,237.0,234.0,222.0,밝은회색
8263,151.0,87.0,33.0,갈색
8264,206.0,198.0,186.0,밝은회색
8266,195.0,131.0,54.0,주황
8268,209.0,190.0,177.0,베이지
8269,85.0,84.0,86.0,진한회색
8270,110.0,109.0,111.0,회색
8272,174.0,182.0,39.0,연두
8273,229.0,231.0,231.0,밝은회색
8275,178.0,187.0,2.0,연두
8277,34.0,122.0,169.0,파랑
8280,213.0,211.0,198.0,밝은회색
8281,182.0,175.0,155.0,베이지
8282,160.0,125.0,97.0,황토
8283,188.0,152.0,122.0,베이지
8284,232.0,225.0,217.0,밝은회색
8285,217.0,163.0,138.0,살구색
8286,222.0,196.0,179.0,살구
8287,237.0,233.0,223.0,밝은회색
8288,211.0,172.0,143.0,살구
8289,190.0,148.0,120.0,베이지
8290,217.0,206.0,214.0,밝은회색
8293,218.0,207.0,215.0,밝은회색
8294,196.0,193.0,182.0,밝은회색
8295,182.0,3.0,9.0,버건디
8297,109.0,112.0,117.0,회색
8298,127.0,129.0,133.0,회색
8300,209.0,209.0,209.0,밝은회색
8302,0.0,99.0,183.0,파랑
8303,187.0,189.0,193.0,회색
8304,234.0,12.0,52.0,빨강
8305,205.0,206.0,206.0,밝은회색
8307,0.0,116.0,178.0,파랑
8308,39.0,43.0,67.0,검정
8309,208.0,207.0,212.0,밝은회색
8312,176.0,180.0,184.0,회색
8313,158.0,163.0,169.0,회색
8314,183.0,191.0,199.0,회색
8315,22.0,89.0,200.0,파랑
8316,152.0,172.0,191.0,회색
8317,137.0,159.0,182.0,회색
8318,129.0,146.0,166.0,회색
8319,208.0,208.0,211.0,밝은회색
8320,96.0,96.0,98.0,진한회색
8322,144.0,153.0,161.0,회색
8323,176.0,175.0,177.0,회색
8324,87.0,106.0,157.0,발블
8326,154.0,21.0,43.0,버건디
8327,222.0,223.0,232.0,밝은회색
8329,82.0,81.0,82.0,진한회색
8331,206.0,206.0,212.0,밝은회색
8332,169.0,169.0,177.0,회색
8334,139.0,103.0,52.0,황토
8335,211.0,215.0,224.0,밝은회색
8337,111.0,152.0,186.0,발블
8339,211.0,219.0,220.0,밝은회색
8340,95.0,95.0,98.0,진한회색
8344,192.0,193.0,193.0,밝은회색
8346,170.0,171.0,171.0,회색
25,,,,밝은회색
